type,left,right,similarity,decision,reason
Company,Lava,Meta,0.3007088005542755,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,LogicMonitor,ServiceNow,0.29166722297668457,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Meta,Waymo,0.30766552686691284,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Numark,Temasek,0.35414743423461914,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,OnePlus,SpaceX,0.37373870611190796,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,OnePlus,Sonos,0.3606269657611847,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Optimism,VC firms,0.23119565844535828,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Patrick Racz's firm,VC firms,0.3479849696159363,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Patrick Racz's firm,Temasek,0.32934314012527466,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Pina Manique,Talkiatry,0.31505537033081055,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,ServiceNow,Telent Technology Services,0.3716607093811035,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Sony,SpaceX,0.3817172944545746,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Talkiatry,Telent Technology Services,0.29363203048706055,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Company,Telent Technology Services,VC firms,0.294895201921463,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Brian Robinson,Mike Engle,0.5034455060958862,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Brian Robinson,Patrick Racz,0.3909569978713989,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Brian Robinson,Michael Cichon,0.34349769353866577,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Danielle Meister,Kirstie McDermott,0.39795634150505066,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Danielle Meister,Michael Cichon,0.3600314259529114,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Danielle Meister,Gayle Schueller,0.31362926959991455,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Gayle Schueller,Mike Engle,0.4259008467197418,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Gayle Schueller,Kirstie McDermott,0.41140973567962646,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Gayle Schueller,Patrick Racz,0.38408219814300537,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Jack O’Donnell,Kirstie McDermott,0.3690603971481323,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Jack O’Donnell,Patrick Racz,0.34390485286712646,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Jack O’Donnell,Sam Altman,0.33522647619247437,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Kiki Silva,Kirstie McDermott,0.4348159432411194,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Kiki Silva,Patrick Racz,0.42415469884872437,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Kiki Silva,Michael Cichon,0.4179646074771881,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Kirstie McDermott,Mike Engle,0.4223133623600006,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
Person,Michael Cichon,Michael Roman,0.5228192806243896,REJECT_THRESHOLD,Below merge threshold 0.90; retained separately.
